Card,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Lillie's Determination 2025 Mega Evolution #184/132 Special Illustration Rare PSA 10","247.83","$570.00","$230.00","$800.00 (10/21/2025)","$667.86","$185.00","$1350.00","0.00","7","$4674.99"
"Mega Venusaur ex 2025 Mega Evolution #177/132 Special Illustration Rare PSA 10","120.11","$353.05","$293.95","$647.00 (10/15/2025)","$407.64","$236.16","$790.00","0.00","8","$3261.11"
"Steelix 2025 Mega Evolution #150/132 Illustration Rare PSA 10","0.00","$0.00","$296.00","$296.00 (10/19/2025)","$296.00","$296.00","$296.00","0.00","1","$296.00"
"Mega Venusaur ex 2025 Mega Evolution #155/132 Ultra Rare (Full Art) PSA 10","0.00","$0.00","$30.00","$30.00 (09/26/2025)","$30.00","$30.00","$30.00","0.00","1","$30.00"
"Mega Gardevoir ex 2025 Mega Evolution #159/132 Ultra Rare (Full Art) PSA 10","0.00","$0.00","$305.00","$305.00 (10/16/2025)","$305.00","$305.00","$305.00","0.00","1","$305.00"
"Lt. Surge's Bargain 2025 Mega Evolution #185/132 Special Illustration Rare PSA 10","0.00","$0.00","$355.00","$355.00 (10/15/2025)","$355.00","$355.00","$355.00","0.00","1","$355.00"
"Vulpix 2025 Mega Evolution #138/132 Illustration Rare PSA 10","0.00","$0.00","$365.00","$365.00 (10/18/2025)","$365.00","$365.00","$365.00","0.00","1","$365.00"
"Mega Lucario ex 2025 Mega Evolution #160/132 Ultra Rare (Full Art) PSA 10","0.00","$0.00","$327.00","$327.00 (10/11/2025)","$327.00","$327.00","$327.00","0.00","1","$327.00"
"Mega Kangaskhan ex 2025 Mega Evolution #164/132 Ultra Rare (Full Art) PSA 10","0.00","$0.00","$207.50","$207.50 (10/16/2025)","$207.50","$207.50","$207.50","0.00","1","$207.50"
"Ninjask 2025 Mega Evolution #137/132 Illustration Rare PSA 10","0.00","$0.00","$14.99","$14.99 (10/04/2025)","$14.99","$14.99","$14.99","0.00","1","$14.99"
"Mega Absol ex 2025 Mega Evolution #161/132 Ultra Rare (Full Art) PSA 10","0.00","$0.00","$207.50","$207.50 (10/16/2025)","$207.50","$207.50","$207.50","0.00","1","$207.50"
"Shroodle 2025 Mega Evolution #149/132 Illustration Rare PSA 10","0.00","$0.00","$4.60","$4.60 (10/19/2025)","$4.60","$4.60","$4.60","0.00","1","$4.60"
"Lillie's Determination 2025 Mega Evolution #169/132 Ultra Rare (Full Art) PSA 10","0.00","$0.00","$29.97","$29.97 (10/17/2025)","$29.97","$29.97","$29.97","0.00","1","$29.97"
"Acerola's Mischief 2025 Mega Evolution #183/132 Special Illustration Rare PSA 10","0.00","$0.00","$300.00","$300.00 (10/07/2025)","$300.00","$300.00","$300.00","0.00","1","$300.00"
"Mega Lucario ex 2025 Mega Evolution #188/132 Mega Hyper Rare (Secret) PSA 10","-5.71","-$132.50","$2320.00","$2187.50 (10/20/2025)","$2418.74","$710.00","$4300.00","0.00","50","$120936.98"
"Bulbasaur 2025 Mega Evolution #133/132 Illustration Rare PSA 10","-9.89","-$45.00","$455.00","$410.00 (10/19/2025)","$357.00","$275.00","$455.00","0.00","5","$1785.00"
"Ivysaur 2025 Mega Evolution #134/132 Illustration Rare PSA 10","-12.50","-$5.00","$40.00","$35.00 (10/07/2025)","$37.50","$35.00","$40.00","0.00","2","$75.00"
"Mega Latias ex 2025 Mega Evolution #181/132 Special Illustration Rare PSA 10","-37.11","-$482.47","$1300.00","$817.53 (10/19/2025)","$1062.22","$750.14","$1975.00","0.00","19","$20182.14"
"Marshadow 2025 Mega Evolution #146/132 Illustration Rare PSA 10","-40.95","-$257.79","$629.50","$371.71 (10/19/2025)","$446.60","$265.00","$630.00","0.00","10","$4465.98"
"Gumshoos 2025 Mega Evolution #153/132 Illustration Rare PSA 10","-42.84","-$14.99","$34.99","$20.00 (10/18/2025)","$29.20","$19.20","$48.00","0.00","6","$175.19"
"Mega Gardevoir ex 2025 Mega Evolution #178/132 Special Illustration Rare PSA 10","-42.86","-$750.00","$1750.00","$1000.00 (10/18/2025)","$1460.00","$1000.00","$2150.00","0.00","5","$7300.00"
"Mega Kangaskhan ex 2025 Mega Evolution #182/132 Special Illustration Rare PSA 10","-44.65","-$480.00","$1075.00","$595.00 (10/20/2025)","$751.43","$595.00","$1075.00","0.00","7","$5260.00"
"Mega Absol ex 2025 Mega Evolution #180/132 Special Illustration Rare PSA 10","-47.53","-$432.50","$910.00","$477.50 (10/19/2025)","$566.67","$410.00","$910.00","0.00","9","$5100.00"
"Mega Gardevoir ex 2025 Mega Evolution #187/132 Mega Hyper Rare (Secret) PSA 10","-53.22","-$1736.00","$3262.00","$1526.00 (10/21/2025)","$2041.65","$1225.00","$3300.00","0.00","26","$53082.85"
"Mega Lucario ex 2025 Mega Evolution #179/132 Special Illustration Rare PSA 10","-55.75","-$1260.00","$2260.00","$1000.00 (10/18/2025)","$1331.08","$530.00","$2260.00","0.00","13","$17304.00"
